Category,Restaurant Address,Restaurant Name,Restaurant Phone,Restaurant Price Range,Restaurant Website,Restaurant Yelp URL,Restaurant Latitude,Restaurant Longitude
Afghan,"14 Prince Arthur Avenue
Toronto, ON M5R 1A9",The Host,(416) 962-4678,$11-30,welcometohost.com,https://www.yelp.ca/adredir?ad_business_id=OFAiA6En2HD0CqLkFDCNpg&campaign_id=UiDeNSuaSJJ-a4Xa5R6s5g&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Fthe-host-toronto-2&request_id=093c5a1d1b517e87&signature=dd807eb49dd58f7c93f3c93101d620d2ec19e2c4e9e843065b66240b29ee9ea5&slot=0,43.669935,-79.395858
Afghan,"259 Wellington St W
Toronto, ON M5V",Aanch Modernist Indian Cuisine,(647) 558-1508,$11-30,aanch.ca,https://www.yelp.ca/adredir?ad_business_id=SZuroTnXB7FwOlHp8Jahyg&campaign_id=X5p3E6hoNT4yMIjGRksi1A&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Faanch-modernist-indian-cuisine-toronto&request_id=093c5a1d1b517e87&signature=a4c3656f13f1d09b7b5047747730f0433169e6fb1fc5948c6973298ba74497fb&slot=1,43.644708,-79.39067
Afghan,"736 Bay Street
Toronto, ON M5G 2J8",Silk Road Kabob House,,Under $10,,https://www.yelp.ca/biz/silk-road-kabob-house-toronto-3,43.659816,-79.385591
Afghan,"691 Yonge Street
Toronto, ON M4Y 2B2",Naan & Kabob,(416) 972-6623,$11-30,naanandkabob.ca,https://www.yelp.ca/biz/naan-and-kabob-toronto-5,43.669058,-79.3861
Afghan,"66 Overlea Boulevard
Unit 62
Toronto, ON M4H 1C4",Afghan Cuisine,(416) 422-5858,$11-30,afghancuisinerestaurant.com,https://www.yelp.ca/biz/afghan-cuisine-toronto,43.70807,-79.341508
Afghan,"119 Spadina Avenue
Unit 101
Toronto, ON M5V 2L1",Pamier Kabob,(647) 352-2623,$11-30,pamier-kabob.com,https://www.yelp.ca/biz/pamier-kabob-toronto,43.64721,-79.395473
Afghan,"4205 Keele St
Toronto, ON M3J 2N8",Bamiyan Kabob,(416) 650-0111,$11-30,bamiyankabob.com,https://www.yelp.ca/biz/bamiyan-kabob-toronto,43.773829,-79.492068
Afghan,"2307 Markham Road
Toronto, ON M1B 2W3",Kandahar Kabab,(416) 609-8666,$11-30,kandaharkabab.com,https://www.yelp.ca/biz/kandahar-kabab-toronto,43.812544,-79.242368
Afghan,"707 Dundas Street W
Toronto, ON M5T 2W6",Mazar's Kitchen,(647) 868-4290,,,https://www.yelp.ca/biz/mazars-kitchen-toronto,43.651766,-79.404965
Afghan,"2298A Islington Avenue
Toronto, ON M9W 3X2",Afghan Kebob Cuisine,(416) 546-4238,Under $10,afghankebobcuisine.com,https://www.yelp.ca/biz/afghan-kebob-cuisine-toronto,43.716049,-79.555686
Afghan,"62 Overlea Boulevard
East York, ON M4H 1C4",Bamiyan Kabob,(416) 429-7514,$11-30,bamiyankabob.com,https://www.yelp.ca/biz/bamiyan-kabob-east-york,43.707861,-79.343364
Afghan,"1780 Markham Road
Toronto, ON M1B 2W2",Naan and Kabob,(416) 293-9992,$11-30,naanandkabob.ca,https://www.yelp.ca/biz/naan-and-kabob-toronto-2,43.795206,-79.239781
